Date,Open,High,Low,Close,Adj Close,Volume,Returns
1993-01-29,43.96875,43.96875,43.75,43.9375,25.884184,1003200,
1993-02-01,43.96875,44.25,43.96875,44.25,26.068277,480500,0.007087008660316307
1993-02-02,44.21875,44.375,44.125,44.34375,26.123499,201300,0.0021161196203340893
1993-02-03,44.40625,44.84375,44.375,44.8125,26.399649,529400,0.010515460520394981
1993-02-04,44.96875,45.09375,44.46875,45.0,26.510111,531500,0.004175492782036105
1993-02-05,44.96875,45.0625,44.71875,44.96875,26.491711,492100,-0.000694315781792465
1993-02-08,44.96875,45.125,44.90625,44.96875,26.491711,596100,0.0
1993-02-09,44.8125,44.8125,44.5625,44.65625,26.30759,122100,-0.006974400904965705
1993-02-10,44.65625,44.75,44.53125,44.71875,26.344427,379600,0.0013992628624417414
1993-02-11,44.78125,45.125,44.78125,44.9375,26.473289,19500,0.004879508825385681
1993-02-12,44.875,44.875,44.59375,44.59375,26.270786,42500,-0.007678739081686814
1993-02-16,44.46875,44.46875,43.40625,43.46875,25.608032,374800,-0.025551471034479967
1993-02-17,43.46875,43.53125,43.28125,43.4375,25.589626,210900,-0.0007190172953994711
1993-02-18,43.9375,43.9375,42.8125,43.40625,25.571209,378100,-0.0007199648244808898
1993-02-19,43.40625,43.5625,43.34375,43.5625,25.66325,34900,0.0035929372852203656
1993-02-22,43.6875,43.78125,43.5625,43.71875,25.755306,513600,0.003580656693467965
1993-02-23,43.84375,43.875,43.46875,43.6875,25.7369,373700,-0.0007149043404326427
1993-02-24,43.71875,44.25,43.71875,44.25,26.068277,26300,0.012793374673957025
1993-02-25,44.21875,44.375,44.125,44.34375,26.123499,44500,0.0021161196203340893
1993-02-26,44.4375,44.4375,44.1875,44.40625,26.160336,66200,0.0014091164542664458
1993-03-01,44.5625,44.5625,44.21875,44.28125,26.086683,66500,-0.002819416311182543
1993-03-02,44.3125,44.9375,44.25,44.9375,26.473289,182400,0.014711308160416436
1993-03-03,45.0,45.15625,44.9375,45.125,26.583761,280100,0.004164278249287001
1993-03-04,45.1875,45.1875,44.875,44.875,26.436472,89500,-0.005555968752000595
1993-03-05,44.9375,45.125,44.71875,44.75,26.362822,40000,-0.0027898118398499427
1993-03-08,44.84375,45.75,44.84375,45.75,26.951933,50800,0.022100260150419437
1993-03-09,45.65625,45.6875,45.5,45.59375,26.859913,169300,-0.0034200681275811107
1993-03-10,45.59375,45.6875,45.40625,45.6875,26.915115,194400,0.0020530726414569322
1993-03-11,45.71875,45.84375,45.5,45.5625,26.841478,70900,-0.00273964706274743
