Date,Buy and Hold,A2C,A2C + GP,Buy and Hold Drawdown,A2C Drawdown,A2C + GP Drawdown
2015-01-12,17.174887,966.2712279999996,966.2712279999996,0.0,0.0,0.0
2015-01-13,17.117456,923.8737389999997,923.8737389999997,-0.003343893907424067,-0.04387742051241117,-0.04387742051241117
2015-01-14,16.873323,889.7462529999998,889.7462529999998,-0.017558427021965195,-0.07919616437135579,-0.07919616437135579
2015-01-15,16.665106,921.1351089999996,921.1351089999996,-0.02968176733855643,-0.046711645438748395,-0.046711645438748395
2015-01-16,16.866148,910.4805619999995,910.4805619999995,-0.017976188140277127,-0.057738101252871155,-0.057738101252871155
2015-01-20,16.794344,916.7873289999995,916.7873289999995,-0.022156943448885524,-0.051211189535698476,-0.051211189535698476
2015-01-21,16.837423,976.6346109999995,976.6346109999995,-0.019648688227177136,0.0,0.0
2015-01-22,17.253872,950.9136239999996,950.9136239999996,0.0,-0.026336345968389963,-0.026336345968389963
2015-01-23,17.067188,962.1539719999992,962.1539719999992,-0.010819832209257085,-0.014827079479779348,-0.014827079479779348
2015-01-26,17.153349,937.0414679999997,937.0414679999997,-0.005826112538681372,-0.04054038486252243,-0.04054038486252243
2015-01-27,16.966671,899.7554329999998,899.7554329999998,-0.016645596999908197,-0.07871846556951456,-0.07871846556951456
2015-01-28,16.657921,915.6418769999993,915.6418769999993,-0.03454013105000431,-0.06245194806023535,-0.06245194806023535
2015-01-29,16.794344,883.8933159999998,883.8933159999998,-0.026633326131085377,-0.09496007407011686,-0.09496007407011686
2015-01-30,16.521502,912.6538739999995,912.6538739999995,-0.042446704136903324,-0.06551143721446506,-0.06551143721446506
2015-02-02,16.787163,941.6780539999995,941.6780539999995,-0.02704952256513793,-0.03579287136281928,-0.03579287136281928
2015-02-03,17.067188,937.2815369999994,937.2815369999994,-0.010819832209257085,-0.04029457235772704,-0.04029457235772704
2015-02-04,17.024109,953.4787009999994,953.4787009999994,-0.013316605107537738,-0.023709901061452432,-0.023709901061452432
2015-02-05,17.196432,966.2880759999994,966.2880759999994,-0.0033291078083805825,-0.01059406955627562,-0.01059406955627562
2015-02-06,17.332857,958.7462739999994,958.7462739999994,0.0,-0.018316304581591503,-0.018316304581591503
2015-02-09,17.246693,970.0289289999993,970.0289289999993,-0.004971136610658067,-0.0067637189237400586,-0.0067637189237400586
2015-02-10,17.383118,969.9070789999992,969.9070789999992,0.0,-0.006888484110871174,-0.006888484110871174
2015-02-11,17.383118,981.6744539999994,981.6744539999994,0.0,0.0,0.0
2015-02-12,17.555443,980.8194159999993,980.8194159999993,0.0,-0.0008709995421762873,-0.0008709995421762873
2015-02-13,17.541077,983.9507839999992,983.9507839999992,-0.0008183217022776912,0.0,0.0
2015-02-17,17.598518,966.883908999999,966.883908999999,0.0,-0.01734525270727383,-0.01734525270727383
2015-02-18,17.49082,954.9118359999993,954.9118359999993,-0.006119719853683092,-0.029512602126246068,-0.029512602126246068
2015-02-19,17.419018,975.213610999999,975.213610999999,-0.010199722499360298,-0.008879684982292968,-0.008879684982292968
2015-02-20,17.548258,968.485740999999,968.485740999999,-0.00285592229982079,-0.0157172932340488,-0.0157172932340488
2015-02-23,17.505178,981.5114509999992,981.5114509999992,-0.0053038556996672925,-0.002479120947577851,-0.002479120947577851
2015-02-24,17.591343,981.4302209999989,981.4302209999989,-0.0004077047851416271,-0.0025616758896757075,-0.0025616758896757075
2015-02-25,17.591343,975.5915409999993,975.5915409999993,-0.0004077047851416271,-0.008495590568074474,-0.008495590568074474
2015-02-26,17.548258,966.852370999999,966.852370999999,-0.00285592229982079,-0.017377305123423947,-0.017377305123423947
2015-02-27,17.483633,983.4813759999988,983.4813759999988,-0.006528106514423371,-0.00047706451138962436,-0.00047706451138962436
2015-03-02,17.612883,976.9974489999988,976.9974489999988,0.0,-0.007066750810170941,-0.007066750810170941
2015-03-03,17.56262,963.8452379999994,963.8452379999994,-0.0028537633503840087,-0.02043348745377882,-0.02043348745377882
2015-03-04,17.454916,972.1459709999992,972.1459709999992,-0.008968832643696079,-0.011997361242002902,-0.011997361242002902
2015-03-05,17.526718,958.5088199999992,958.5088199999992,-0.004892157632569338,-0.025856947739369862,-0.025856947739369862
2015-03-06,17.397474,966.7525109999995,966.7525109999995,-0.012230195363246432,-0.017478793939351922,-0.017478793939351922
2015-03-09,17.476458,929.1809629999996,929.1809629999996,-0.007745750653087247,-0.055663171258776734,-0.055663171258776734
2015-03-10,17.103086,939.5188229999994,939.5188229999994,-0.028944551553541698,-0.045156690479348005,-0.045156690479348005
2015-03-11,17.210791,973.3155559999992,973.3155559999992,-0.022829425483607668,-0.010808699147293876,-0.010808699147293876
2015-03-12,17.584158,962.8996289999994,962.8996289999994,-0.0016309084662631257,-0.021394520277144058,-0.021394520277144058
2015-03-13,17.462105,980.1806269999995,980.1806269999995,-0.008560665508309917,-0.0038316520107571916,-0.0038316520107571916
2015-03-16,17.677502,976.6962299999993,976.6962299999993,0.0,-0.007372882991676044,-0.007372882991676044
2015-03-17,17.634424,983.3221379999993,983.3221379999993,-0.0024368827677123672,-0.0006388998415594038,-0.0006388998415594038
2015-03-18,17.734941,972.8615399999994,972.8615399999994,0.0,-0.011270120599852884,-0.011270120599852884
2015-03-19,17.569799,987.2755779999995,987.2755779999995,-0.009311674620174903,0.0,0.0
2015-03-20,17.808346,973.4270209999997,973.4270209999997,0.0,-0.014027043014731455,-0.014027043014731455
2015-03-23,17.707455,950.0865889999998,950.0865889999998,-0.0056653773461050605,-0.037668296298118076,-0.037668296298118076
