Date,Buy and Hold,A2C,A2C + GP,Buy and Hold Drawdown,A2C Drawdown,A2C + GP Drawdown
2015-01-12,48.574207,965.2300000000005,965.2300000000005,0.0,0.0,0.0
2015-01-13,48.477116,945.7496740000001,945.7496740000001,-0.0019988180146718326,-0.020182056090258582,-0.020182056090258582
2015-01-14,48.212357,938.1384210000001,938.1384210000001,-0.007449426812052851,-0.02806748546978477,-0.02806748546978477
2015-01-15,47.98291,946.6701660000001,946.6701660000001,-0.012173065429560315,-0.019228405664971415,-0.019228405664971415
2015-01-16,48.300625,958.1921750000002,958.1921750000002,-0.005632248407061113,-0.007291345068015098,-0.007291345068015098
2015-01-20,48.644802,962.6303910000003,968.1204000000001,0.0,-0.0026932534214645365,0.0
2015-01-21,49.041931,1002.4777870000005,982.1770340000003,0.0,0.0,0.0
2015-01-22,49.827396,978.2200780000007,972.4603580000005,0.0,-0.02419775212435682,-0.009892998577280654
2015-01-23,49.412601,979.7504500000007,974.5466780000002,-0.008324637313978811,-0.022671162687816993,-0.0077688194040995695
2015-01-26,49.474373,949.5317020000007,938.4503450000004,-0.007084917702703142,-0.0528152201341493,-0.044520170484865784
2015-01-27,48.821308,943.7424400000006,928.8485570000004,-0.020191462544018934,-0.058590173030936055,-0.05429619625986881
2015-01-28,48.397694,951.9562570000005,942.0663020000002,-0.028693090845044344,-0.050396657816419,-0.04083859692447267
2015-01-29,48.953686,926.9922820000011,925.9040240000004,-0.01753473129520966,-0.07529893028941437,-0.057294161899533735
2015-01-30,48.159424,963.8526640000005,966.7318760000003,-0.033474998372381326,-0.03852965472241432,-0.01572543183696551
2015-02-02,48.874264,999.5905960000009,1009.6182650000005,-0.019128673711947597,-0.002880054837563817,0.0
2015-02-03,49.668537,985.9920430000005,992.6043020000002,-0.0031881858726874324,-0.016444996800712097,-0.016851877179540065
2015-02-04,49.289047,997.2713110000008,1007.6961050000004,-0.010804277229337966,-0.005193607347231621,-0.0019038482826972958
2015-02-05,49.712662,996.1377670000008,1003.9099820000006,-0.0023026288590316524,-0.006324349608755608,-0.005653902269685984
2015-02-06,49.597931,1001.3520370000008,997.9413760000004,-0.004605197510221037,-0.00112296752566321,-0.011565647537091772
2015-02-09,49.465549,1017.6772300000007,1004.1338470000005,-0.007262009036153483,0.0,-0.0054321699498968146
2015-02-10,49.739136,1017.4075750000009,1003.0633390000005,-0.0017713147201190438,-0.00026497104587852593,-0.006492479610598179
2015-02-11,49.75679,1033.9923190000006,1002.4265350000005,-0.001417011637533605,0.0,-0.007123217011134386
2015-02-12,50.224522,1040.0345500000008,1001.5681540000005,0.0,0.0,-0.007973420528401443
2015-02-13,50.453983,1039.8388390000005,1014.5157110000005,0.0,-0.00018817740237597746,0.0
2015-02-17,50.524578,1056.225034,1031.1779010000005,0.0,0.0,0.0
2015-02-18,50.806988,1058.9999830000004,1033.8646010000004,0.0,0.0,0.0
2015-02-19,50.895237,1075.6546870000004,1050.086860000001,0.0,0.0,0.0
2015-02-20,51.327682,1068.0980410000006,1041.0408660000005,0.0,-0.007025159738833331,-0.008614519755061556
2015-02-23,51.107048,1072.6364080000008,1049.363046000001,-0.004298538165039334,-0.0028059925145844655,-0.0006892896460012343
2015-02-24,51.310028,1070.7249040000006,1045.6513100000009,-0.0003439469563422115,-0.004583053520408997,-0.0042239839092931275
