Date,Buy and Hold,A2C,A2C + GP,Buy and Hold Drawdown,A2C Drawdown,A2C + GP Drawdown
2015-01-12,37.120766,970.4000800000003,970.4000800000003,0.0,0.0,0.0
2015-01-13,37.093452,953.3475260000002,953.3475260000002,-0.0007358145572751162,-0.017572704651879323,-0.017572704651879323
2015-01-14,36.884045,918.960407,918.960407,-0.006377050516683913,-0.053008727080896656,-0.053008727080896656
2015-01-15,36.410576,943.6771410000001,943.6771410000001,-0.01913187890573176,-0.02753806347583998,-0.02753806347583998
2015-01-16,36.765667,965.3571730000003,965.3571730000003,-0.009566047209262907,-0.005196729785925003,-0.005196729785925003
2015-01-20,37.075245,968.9406770000003,968.9406770000003,-0.0012262947375600852,-0.001503918878489885,-0.001503918878489885
2015-01-21,37.138973,1006.9127010000002,1006.9127010000002,0.0,0.0,0.0
2015-01-22,37.749004,1006.3486250000003,1006.3486250000003,0.0,-0.0005602034808377399,-0.0005602034808377399
2015-01-23,37.739906,997.5756700000004,997.5756700000004,-0.00024101298142864547,-0.00927293000746432,-0.00927293000746432
2015-01-26,37.58511,938.4311760000003,938.4311760000003,-0.004341677465185545,-0.06801138264716344,-0.06801138264716344
2015-01-27,36.501637,937.4231710000001,937.4231710000001,-0.0330437062657335,-0.06901246744726486,-0.06901246744726486
2015-01-28,36.437901,953.6424180000004,951.1224110000003,-0.034732121673991756,-0.05290456952931,-0.0554072760673221
2015-01-29,36.783886,933.4162290000004,936.8128810000003,-0.025566714289998127,-0.07299190081424922,-0.06961856765773367
2015-01-30,36.328648,949.0313410000003,947.2018210000002,-0.037626317240052165,-0.05748399036233809,-0.05930095026182414
2015-02-02,36.701946,965.1829610000004,957.4899610000003,-0.027737367587234885,-0.04144325516855285,-0.04908344084935701
2015-02-03,37.120766,967.5010800000002,967.4880760000005,-0.016642505322789325,-0.03914105062023643,-0.03915396534460802
2015-02-04,37.193611,978.9804500000005,994.1906540000011,-0.014712785534685913,-0.027740489291930848,-0.012634707047953997
2015-02-05,37.539593,975.7628430000003,985.7650750000012,-0.005547457622987806,-0.030936006635991276,-0.021002442395449572
2015-02-06,37.42123,974.0290110000003,981.628183000001,-0.008682984059658838,-0.03265793545690898,-0.0251109336240255
2015-02-09,37.366615,987.4790410000004,1019.5151970000011,-0.010129777198889744,-0.019300243189602773,0.0
2015-02-10,37.922001,996.3295149999999,1028.974947000001,0.0,-0.010510529849797057,0.0
2015-02-11,38.067669,1036.060111,1061.439795000001,0.0,0.0,0.0
