Date,Open,High,Low,Close,Adj Close,Volume,Returns
1998-12-22,24.8125,25.0625,24.8125,25.03125,18.197704,5700,
1998-12-23,25.1875,25.59375,25.1875,25.59375,18.606638,18100,0.02222296649392197
1998-12-24,25.625,25.75,25.515625,25.75,18.720226,4900,0.006086144853692854
1998-12-28,25.671875,25.75,25.375,25.375,18.447601,15500,-0.014670208694135933
1998-12-29,25.375,25.9375,25.375,25.9375,18.856541,5300,0.0219255214230345
1998-12-30,26.0,26.03125,25.71875,25.71875,18.6975,17300,-0.008470031271357925
1998-12-31,25.8125,26.0,25.75,26.0,18.901983,6600,0.010877012113047257
1999-01-04,26.25,26.375,25.78125,25.9375,18.856541,249200,-0.0024069808416893324
1999-01-05,26.0,26.34375,26.0,26.34375,19.151882,4400,0.0155411312051692
1999-01-06,26.53125,26.78125,26.46875,26.78125,19.469942,38500,0.01647085287749661
1999-01-07,26.53125,26.6875,26.34375,26.65625,19.379072,15900,-0.004678119538509051
1999-01-08,26.71875,26.984375,26.71875,26.984375,19.617611,24400,0.012233962317613312
1999-01-11,26.96875,27.25,26.8125,27.046875,19.663052,7700,0.002313658517959727
1999-01-12,27.125,27.25,26.90625,26.9375,19.583538,270700,-0.004052026369396611
1999-01-13,25.78125,26.875,25.78125,26.6875,19.401794,7100,-0.009323779344768024
1999-01-14,26.78125,26.859375,26.375,26.46875,19.242748,12200,-0.008231273539089035
1999-01-15,26.5625,26.90625,26.5625,26.828125,19.504025,7700,0.01348659204492586
1999-01-19,27.28125,27.65625,27.125,27.59375,20.060638,22700,0.02813873208783013
1999-01-20,27.75,28.125,27.59375,27.75,20.174219,25800,0.005645915516104161
1999-01-21,27.6875,27.6875,26.71875,26.78125,19.469942,23200,-0.03553366169267047
1999-01-22,26.59375,26.875,26.40625,26.671875,19.390432,67100,-0.004092091905805173
1999-01-25,26.6875,26.90625,26.6875,26.890625,19.549469,495300,0.008168376405280675
1999-01-26,26.9375,27.03125,26.671875,27.015625,19.640337,187400,0.004637336701394101
1999-01-27,27.09375,27.09375,26.75,26.75,19.447229,6800,-0.009880869589957708
1999-01-28,27.0,27.34375,27.0,27.25,19.810722,25800,0.018518714236963607
1999-01-29,27.28125,27.28125,26.90625,27.25,19.810722,13800,0.0
1999-02-01,27.375,27.46875,27.15625,27.40625,19.924328,34000,0.005718191347665158
1999-02-02,26.96875,27.046875,26.625,27.0,19.628977,141700,-0.014934604813922281
1999-02-03,26.9375,27.515625,26.9375,27.515625,20.003836,38900,0.0189171623433948
1999-02-04,27.34375,27.4375,27.125,27.3125,19.856169,7400,-0.00740931545546708
1999-02-05,27.3125,27.3125,26.8125,27.0,19.628977,16900,-0.01150784688792772
1999-02-08,27.125,27.125,26.875,26.984375,19.617611,6500,-0.0005792096025141191
1999-02-09,27.0625,27.09375,26.5,26.5,19.265482,220800,-0.018112685986322763
1999-02-10,26.3125,26.5625,26.1875,26.5625,19.310913,17800,0.002355379293661475
1999-02-11,26.46875,27.28125,26.375,27.28125,19.833445,5300,0.026699277595573445
1999-02-12,27.125,27.125,26.71875,26.875,19.538107,8400,-0.015002890396651924
